Designation,MJD,dt_yr,RA_offset_mas,Dec_offset_mas,Blend_W1_mmag_yr,Blend_W2_mmag_yr,Observed_fade_W1,Observed_fade_W2
J143046.35-025927.8,56686.5,0.0,214.99,69.48,0.0,0.0,25.5,20.0
J143046.35-025927.8,56864.85,0.488,-177.96,-96.12,0.142,0.009,25.5,20.0
J143046.35-025927.8,57223.3,1.47,-186.23,-124.56,0.426,0.026,25.5,20.0
J143046.35-025927.8,57584.46,2.458,-187.3,-260.28,0.712,0.044,25.5,20.0
J143046.35-025927.8,57780.22,2.994,-30.2,216.36,0.867,0.053,25.5,20.0
J143046.35-025927.8,58144.17,3.991,28.76,243.36,1.154,0.071,25.5,20.0
J143046.35-025927.8,58306.18,4.434,-209.23,-50.4,1.282,0.079,25.5,20.0
J143046.35-025927.8,58511.48,4.997,71.18,312.48,1.443,0.089,25.5,20.0
J143046.35-025927.8,58875.59,5.993,50.33,69.48,1.727,0.106,25.5,20.0
J143046.35-025927.8,59239.63,6.99,104.26,123.12,2.01,0.124,25.5,20.0
J143046.35-025927.8,59401.58,7.433,-178.32,-243.36,2.135,0.131,25.5,20.0
J143046.35-025927.8,59607.39,7.997,76.22,160.92,2.294,0.141,25.5,20.0
J143046.35-025927.8,59971.08,8.993,-18.33,312.12,2.572,0.158,25.5,20.0
J143046.35-025927.8,60334.89,9.989,199.89,69.12,2.848,0.175,25.5,20.0
J143046.35-025927.8,60497.17,10.433,-557.24,-29.52,2.97,0.182,25.5,20.0
J231029.40-060547.3,56816.99,0.0,-89.85,33.12,0.0,0.0,52.6,40.0
J231029.40-060547.3,56998.08,0.496,-257.73,43.56,1.282,0.331,52.6,40.0
J231029.40-060547.3,57356.64,1.477,530.5,-275.04,3.808,0.983,52.6,40.0
J231029.40-060547.3,57546.29,1.997,134.95,138.6,5.133,1.323,52.6,40.0
J231029.40-060547.3,57716.72,2.463,-159.65,-442.8,6.312,1.626,52.6,40.0
J231029.40-060547.3,58076.98,3.45,207.98,36.36,8.762,2.251,52.6,40.0
J231029.40-060547.3,58277.42,3.998,-103.81,198.72,10.092,2.588,52.6,40.0
J231029.40-060547.3,58437.97,4.438,25.06,11.88,11.138,2.852,52.6,40.0
J231029.40-060547.3,58641.86,4.996,-216.93,-203.4,12.439,3.178,52.6,40.0
J231029.40-060547.3,59005.67,5.992,-102.74,-86.04,14.669,3.73,52.6,40.0
J231029.40-060547.3,59169.12,6.44,-28.64,-241.56,15.63,3.965,52.6,40.0
J231029.40-060547.3,59535.81,7.444,157.5,-160.56,17.679,4.46,52.6,40.0
J231029.40-060547.3,59899.79,8.44,-197.6,-163.08,19.554,4.901,52.6,40.0
J231029.40-060547.3,60101.59,8.993,-42.24,114.48,20.52,5.124,52.6,40.0
J231029.40-060547.3,60468.5,9.997,224.09,143.28,22.131,5.485,52.6,40.0
J193547.43+601201.5,56810.39,0.0,11.09,73.44,0.0,0.0,22.9,18.0
J193547.43+601201.5,56812.7,0.006,-227.21,210.6,0.042,0.012,22.9,18.0
J193547.43+601201.5,56989.69,0.491,90.53,-196.56,3.255,0.948,22.9,18.0
J193547.43+601201.5,56992.84,0.5,17.89,9.72,3.312,0.964,22.9,18.0
J193547.43+601201.5,57173.38,0.994,266.57,340.92,6.561,1.909,22.9,18.0
J193547.43+601201.5,57175.61,1.0,-28.63,102.24,6.601,1.921,22.9,18.0
J193547.43+601201.5,57352.66,1.485,136.86,-142.2,9.734,2.828,22.9,18.0
J193547.43+601201.5,57540.91,2.0,153.15,301.32,12.978,3.764,22.9,18.0
J193547.43+601201.5,57710.9,2.465,-227.03,-184.68,15.808,4.575,22.9,18.0
J193547.43+601201.5,57904.16,2.995,-160.3,15.12,18.884,5.448,22.9,18.0
J193547.43+601201.5,58071.43,3.453,-156.72,23.04,21.402,6.156,22.9,18.0
J193547.43+601201.5,58268.11,3.991,59.58,233.28,24.169,6.924,22.9,18.0
J193547.43+601201.5,58432.68,4.442,-62.98,55.8,26.306,7.508,22.9,18.0
J193547.43+601201.5,58637.01,5.001,71.92,-7.56,28.712,8.154,22.9,18.0
J193547.43+601201.5,58799.89,5.447,116.83,-27.36,30.42,8.601,22.9,18.0
